ID,Quote Candidate,Book,Book Number,Character,Verification Status,Source Type,Source URL,Additional Sources,Context,Chapter,Page / Location,Humor Category,Spoiler Level,Standalone Quality,App Candidate,User Verified,Favorite,Research Confidence,Research Notes,Date Added
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,
